LAB_ID,LATITUDE,LONGITUDE,TYPE,NAME,ATTRIBUTE,GEOL_AGE,STRUCT_SRC,Strat Unit or Age at Total Depth,Series/System,Formation,Member,TOC %,S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg CO2/g rock),Tmax (degC),HI ((S2/TOC)*100),OI ((S3/TOC)*100),S2/S3,(S1/TOC)*100,PI (S1/(S1+S2)),S1+S2,Calculated %Ro,Number of %Ro Readings,Total Sample %Ro,Number of Indigenous %Ro Readings,Indigenous %Ro (mean),%Ro Standard Deviation,%Ro Mean Corrected for Suppression,TAI Color,Thermal Alteration Index (TAI),Amorphous Debris %,Finely Disseminated Organic Matter %,Herbaceous Plant Debris %,Woody Plant Debris %,Coaly Fragments %,Algal Debris %,Palynomorphs %,Preservation in Source Material,Recovery from Source Material,Indigenous Vitrinite %,Caved Vitrinite %,Recycled/Oxidized Vitrinite %,Inertinite %,Solid Bitumen %,Amorphous Kerogen %,Kerogen Composition Comments,CAI Min,CAI Max ,CAI Field Number,USGS ID Number,Strat Unit Sampled for Mineralogy,Quartz %,Feldspar %,Carbonate %,Illite/Smectite %,Illite %,Kaolinite %,Chlorite %,Pyrite %,Other Minerals %,Total Clay %,LOI %,,,,,
,38.908561,-84.854139,,,,,,Eau Claire Formation,Cambrian,Eau Claire Formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTY82,Eau Claire Formation,10,14,1,0,62,1,7,3,0,71,0,,,,,
,38.908561,-84.854139,,,,,,Eau Claire Formation,Cambrian,Eau Claire Formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTY83,Eau Claire Formation,25,18,24,0,22,1,7,0,1,30,0,,,,,
,38.908561,-84.854139,,,,,,Eau Claire Formation,Cambrian,Eau Claire Formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTY84,Eau Claire Formation,21,20,8,0,42,1,7,2,0,50,0,,,,,
,37.530834,-83.003723,,,,,,,Upper Devonian,Ohio Shale,Huron Member,7.17,6.01,37.57,0.14,437,524,2,268.36,84,0.14,43.58,0.71,40,0.58,34,0.54,0.05,,"YO, O","2, 2.3",96,1,2,,,,1,good,good,1,,1,tr,,98,"palynomorphs, acritarchs?, Tasmanites?",,,,KTY70,(lower) Huron Member of Ohio Shale,49,4,6,0,22,1,2,12,5,25,6.77,,,,,
,37.530834,-83.003723,,,,,,,Upper Devonian,Ohio Shale,Huron Member,5.32,4.47,31.36,0.08,439,589,2,392,84,0.12,35.83,0.74,14,0.54,12,0.54,0.07,,"YO, O","2, 2.3",99,tr,1,,,,tr,good,good,1,,tr,tr,,99,"palynomorphs, acritarchs?, Tasmanites?",,,,KTY71,(lower) Huron Member of Ohio Shale,45,4,0,0,32,2,4,8,4,38,4.88,,,,,
,38.293272,-83.111354,,,,,,,Upper Devonian,Ohio Shale,,6.76,2.46,27.68,0.51,429,409,8,54.38,,0.08,,,,,35,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38.290006,-82.800034,,,,,,,Upper Devonian,Ohio Shale,,7.51,2.48,36.2,0.48,432,482,6,75.57,,0.06,,,,,38,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38.177017,-82.95466,,,,,,,Upper Devonian,Ohio Shale,,6.2,2.3,27.2,0.6,431,435,11,45.33,,0.08,,,,,33,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37.222434,-84.806352,,,,,,,Upper Devonian,Ohio Shale,,6.42,2.1,25.67,0.61,435,399,9,42.08,,0.08,,,,,33,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37.162217,-84.965637,,,,,,,Upper Devonian,Ohio Shale,,7.11,2.41,33.84,0.59,432,475,8,57.45,,0.07,,,,,35,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
